token,label
prior,O
and,O
contextual,B
polarity,I
",",O
with,O
a,O
focus,O
on,O
understanding,O
which,O
features,B
are,O
important,O
for,O
this,O
task,B
.,O
Because,O
an,O
important,O
aspect,O
of,O
the,O
problem,O
is,O
identifying,O
when,O
polar,B
terms,I
are,O
being,O
used,O
in,O
neutral,O
contexts,O
",",O
features,B
for,O
distinguishing,O
between,O
neutral,O
and,O
polar,B
instances,I
are,O
evaluated,O
",",O
as,O
well,O
as,O
features,B
for,O
distinguishing,O
between,O
positive,O
and,O
negative,B
contextual,I
polarity,I
.,O
The,O
evaluation,O
includes,O
assessing,O
the,O
performance,O
of,O
features,B
across,O
multiple,O
machine,B
learning,I
algorithms,I
.,O
For,O
all,O
learning,B
algorithms,I
except,O
one,O
",",O
the,O
combination,O
of,O
all,O
features,B
together,O
gives,O
the,O
best,O
performance,O
.,O
Another,O
facet,O
of,O
the,O
evaluation,O
considers,O
how,O
the,O
presence,O
of,O
neutral,B
instances,I
affects,O
the,O
performance,O
of,O
features,B
for,O
distinguishing,O
between,O
positive,O
and,O
negative,B
polarity,I
.,O
These,O
experiments,O
show,O
that,O
the,O
presence,O
of,O
neutral,B
instances,I
greatly,O
degrades,B
the,O
performance,O
of,O
these,O
features,B
",",O
and,O
that,O
perhaps,O
the,O
best,O
way,O
to,O
improve,O
performance,O
across,O
all,O
polarity,B
classes,I
is,O
to,O
improve,O
the,O
system,O
's,O
ability,O
to,O
identify,O
when,O
an,O
instance,B
is,O
neutral,O
.,O
There,O
is,O
growing,O
interest,O
in,O
using,O
automatically,B
computed,I
corpus,I
based,I
evaluation,I
metrics,I
to,O
evaluate,O
Natural,B
Language,I
Generation,I
(,O
NLG,B
),O
systems,O
",",O
because,O
these,O
are,O
often,O
considerably,O
cheaper,O
than,O
the,O
human,O
based,O
evaluations,O
which,O
have,O
traditionally,O
been,O
used,O
in,O
NLG,B
.,O
We,O
review,O
previous,O
work,O
on,O
NLG,B
evaluation,I
and,O
on,O
validation,B
of,O
automatic,B
metrics,I
in,O
NLP,B
",",O
and,O
then,O
present,O
the,O
results,O
of,O
two,O
studies,O
of,O
how,O
well,O
some,O
metrics,B
which,O
are,O
popular,O
in,O
other,O
areas,O
of,O
NLP,B
(,O
notably,O
BLEU,B
and,O
ROUGE,B
),O
correlate,O
with,O
human,O
judgments,O
in,O
the,O
domain,O
of,O
computer,O
generated,O
weather,O
forecasts,O
.,O
Our,O
results,O
suggest,O
that,O
",",O
at,O
least,O
in,O
this,O
domain,O
",",O
metrics,B
may,O
provide,O
a,O
useful,O
measure,B
of,O
language,B
quality,I
",",O
although,O
the,O
evidence,O
for,O
this,O
is,O
not,O
as,O
strong,O
as,O
we,O
would,O
ideally,O
like,O
to,O
see,O
;,O
however,O
",",O
they,O
do,O
not,O
provide,O
a,O
useful,O
measure,B
of,O
content,O
quality,O
.,O
We,O
also,O
discuss,O
a,O
number,O
of,O
caveats,O
which,O
must,O
be,O
kept,O
in,O
mind,O
when,O
interpreting,O
this,O
and,O
other,O
validation,B
studies,I
.,O
We,O
introduce,O
a,O
generative,B
probabilistic,I
model,I
",",O
the,O
noisy,B
channel,I
model,I
",",O
for,O
unsupervised,B
word,I
sense,I
disambiguation,I
.,O
In,O
our,O
model,O
",",O
each,O
context,O
C,O
is,O
modeled,O
as,O
a,O
distinct,O
channel,O
through,O
which,O
the,O
speaker,O
intends,O
to,O
transmit,O
a,O
particular,O
meaning,O
S,O
using,O
a,O
possibly,O
ambiguous,B
word,I
W.,O
To,O
reconstruct,O
the,O
intended,O
meaning,O
the,O
hearer,O
uses,O
the,O
distribution,O
of,O
possible,O
meanings,O
in,O
the,O
given,O
context,O
P(S|C,O
),O
and,O
possible,O
words,O
that,O
can,O
express,O
each,O
meaning,O
P(W|S,O
),O
.,O
We,O
assume,O
P(W|S,O
),O
is,O
independent,O
of,O
the,O
context,O
and,O
estimate,O
it,O
using,O
WordNet,B
sense,I
frequencies,I
.,O
The,O
main,O
problem,O
of,O
unsupervised,B
WSD,I
is,O
estimating,O
context,B
-,I
dependent,I
P(S|C,O
),O
without,O
access,O
to,O
any,O
sense,B
-,I
tagged,I
text,I
.,O
We,O
show,O
one,O
way,O
to,O
solve,O
this,O
problem,O
using,O
a,O
statistical,B
language,I
model,I
based,O
on,O
large,O
amounts,O
of,O
untagged,B
text,I
.,O
Our,O
model,O
uses,O
coarse,B
-,I
grained,I
semantic,I
classes,I
for,O
S,O
internally,O
and,O
we,O
explore,O
the,O
effect,O
of,O
using,O
different,O
levels,O
of,O
granularity,B
on,O
WSD,B
performance,I
.,O
The,O
system,O
outputs,O
fine,B
-,I
grained,I
senses,I
for,O
evaluation,O
",",O
and,O
its,O
performance,O
on,O
noun,B
disambiguation,I
is,O
better,O
than,O
most,O
previously,O
reported,O
unsupervised,B
systems,I
and,O
close,O
to,O
the,O
best,O
supervised,B
systems,I
.,O
Newly,B
coined,I
words,I
pose,O
problems,O
for,O
natural,B
language,I
processing,I
systems,I
because,O
they,O
are,O
not,O
in,O
a,O
system,O
's,O
lexicon,B
",",O
and,O
therefore,O
no,O
lexical,B
information,I
is,O
available,O
for,O
such,O
words,O
.,O
A,O
common,O
way,O
to,O
form,O
new,O
words,O
is,O
lexical,B
blending,I
",",O
as,O
in,O
cosmeceutical,O
",",O
a,O
blend,O
of,O
cosmetic,O
and,O
pharmaceutical,O
.,O
We,O
propose,O
a,O
statistical,B
model,I
for,O
inferring,B
a,O
blend,B
's,O
source,B
words,I
drawing,O
on,O
observed,O
linguistic,B
properties,I
of,O
blends,O
;,O
these,O
properties,O
are,O
largely,O
based,O
on,O
the,O
recognizability,B
of,O
the,O
source,B
words,I
in,O
a,O
blend,B
.,O
We,O
annotate,B
a,O
set,O
of,O
"1,186",O
recently,O
coined,B
expressions,I
which,O
includes,O
515,O
blends,O
",",O
and,O
evaluate,O
our,O
methods,O
on,O
a,O
324,O
-,O
item,O
subset,O
.,O
In,O
this,O
first,O
study,O
of,O
novel,O
blends,O
we,O
achieve,O
an,O
accuracy,O
of,O
40,O
%,O
on,O
the,O
task,O
of,O
inferring,B
a,O
blend,B
's,O
source,B
words,I
",",O
which,O
corresponds,O
to,O
a,O
reduction,O
in,O
error,B
rate,I
of,O
39,O
%,O
over,O
an,O
informed,B
baseline,I
.,O
We,O
also,O
give,O
preliminary,O
results,O
showing,O
that,O
our,O
features,O
for,O
source,B
word,I
identification,I
can,O
be,O
used,O
to,O
distinguish,O
blends,B
from,O
other,O
kinds,O
of,O
novel,B
words,I
.,O
We,O
present,O
an,O
approach,O
to,O
the,O
automatic,B
creation,I
of,O
extractive,B
summaries,I
of,O
literary,O
short,O
stories,O
.,O
The,O
summaries,O
are,O
produced,O
with,O
a,O
specific,O
objective,O
in,O
mind,O
:,O
to,O
help,O
a,O
reader,O
decide,O
whether,O
she,O
would,O
be,O
interested,O
in,O
reading,O
the,O
complete,O
story,O
.,O
To,O
this,O
end,O
",",O
the,O
summaries,O
give,O
the,O
user,O
relevant,O
information,O
about,O
the,O
setting,O
of,O
the,O
story,O
without,O
revealing,O
its,O
plot,O
.,O
The,O
system,O
relies,O
on,O
assorted,O
surface,B
indicators,I
about,O
clauses,B
in,O
the,O
short,O
story,O
",",O
the,O
most,O
important,O
of,O
which,O
are,O
those,O
related,O
to,O
the,O
aspectual,B
type,I
of,O
a,O
clause,B
and,O
to,O
the,O
main,O
entities,B
in,O
a,O
story,O
.,O
Fifteen,O
judges,O
evaluated,O
the,O
summaries,O
on,O
a,O
number,O
of,O
extrinsic,B
and,I
intrinsic,I
measures,I
.,O
The,O
outcome,O
of,O
this,O
evaluation,O
suggests,O
that,O
the,O
summaries,O
are,O
helpful,O
in,O
achieving,O
the,O
original,O
objective,O
Generating,O
responses,O
that,O
take,O
user,O
preferences,O
into,O
account,O
requires,O
adaptation,O
at,O
all,O
levels,O
of,O
the,O
generation,B
process,I
.,O
This,O
article,O
describes,O
a,O
multi,B
-,I
level,I
approach,I
to,O
presenting,O
user,B
-,I
tailored,I
information,I
in,O
spoken,B
dialogues,I
which,O
brings,O
together,O
for,O
the,O
first,O
time,O
multi,B
-,I
attribute,I
decision,I
models,I
",",O
strategic,B
content,I
planning,I
",",O
surface,B
realization,I
that,O
incorporates,O
prosody,B
prediction,I
",",O
and,O
unit,B
selection,I
synthesis,I
that,O
takes,O
the,O
resulting,O
prosodic,B
structure,I
into,O
account,O
.,O
The,O
system,O
selects,O
the,O
most,O
important,O
options,O
to,O
mention,O
and,O
the,O
attributes,O
that,O
are,O
most,O
relevant,O
to,O
choosing,O
between,O
them,O
",",O
based,O
on,O
the,O
user,B
model,I
.,O
Multiple,O
options,O
are,O
selected,O
when,O
each,O
offers,O
a,O
compelling,O
trade,B
-,I
off,I
.,O
To,O
convey,O
these,O
trade,B
-,I
offs,I
",",O
the,O
system,O
employs,O
a,O
novel,B
presentation,I
strategy,I
which,O
straightforwardly,O
lends,O
itself,O
to,O
the,O
determination,O
of,O
information,B
structure,I
",",O
as,O
well,O
as,O
the,O
contents,O
of,O
referring,B
expressions,I
.,O
During,O
surface,B
realization,I
",",O
the,O
prosodic,B
structure,I
is,O
derived,O
from,O
the,O
information,B
structure,I
using,O
Combinatory,B
Categorial,I
Grammar,I
in,O
a,O
way,O
that,O
allows,O
phrase,B
boundaries,I
to,O
be,O
determined,O
in,O
a,O
flexible,O
",",O
data,B
-,I
driven,I
fashion,I
.,O
This,O
approach,O
to,O
choosing,O
pitch,B
accents,I
and,O
edge,B
tones,I
is,O
shown,O
to,O
yield,O
prosodic,B
structures,I
with,O
significantly,O
higher,O
acceptability,O
than,O
baseline,B
prosody,I
prediction,I
models,I
in,O
an,O
expert,O
evaluation,O
.,O
These,O
prosodic,B
structures,I
are,O
then,O
shown,O
to,O
enable,O
perceptibly,O
more,O
natural,B
synthesis,I
using,O
a,O
unit,B
selection,I
voice,I
that,O
aims,O
to,O
produce,O
the,O
target,B
tunes,I
",",O
in,O
comparison,O
to,O
two,O
baseline,B
synthetic,B
voices,I
.,O
An,O
expert,O
evaluation,O
and,O
f0,B
analysis,I
confirm,O
the,O
superiority,O
of,O
the,O
generator,B
-,I
driven,I
intonation,I
and,O
its,O
contribution,O
to,O
listeners,O
',O
ratings,O
.,O
This,O
article,O
presents,O
a,O
novel,O
approach,O
for,O
readability,B
assessment,I
through,O
sorting,B
.,O
A,O
comparator,B
that,O
judges,O
the,O
relative,O
readability,B
between,O
two,O
texts,O
is,O
generated,O
through,O
machine,B
learning,I
",",O
and,O
a,O
given,O
set,O
of,O
texts,O
is,O
sorted,O
by,O
this,O
comparator,B
.,O
Our,O
proposal,O
is,O
advantageous,O
because,O
it,O
solves,O
the,O
problem,O
of,O
a,O
lack,O
of,O
training,B
data,I
",",O
because,O
the,O
construction,O
of,O
the,O
comparator,B
only,O
requires,O
training,B
data,I
annotated,B
with,O
two,O
reading,B
levels,I
.,O
The,O
proposed,O
method,O
is,O
compared,O
with,O
regression,B
methods,I
and,O
a,O
state,B
-,I
of,I
-,I
the,I
art,I
classification,B
method,I
.,O
Moreover,O
",",O
we,O
present,O
our,O
application,O
",",O
called,O
Terrace,O
",",O
which,O
retrieves,O
texts,O
with,O
readability,B
similar,O
to,O
that,O
of,O
a,O
given,O
input,O
text,O
.,O
This,O
article,O
shows,O
that,O
the,O
structure,O
of,O
bilingual,B
material,I
from,O
standard,B
parsing,I
and,O
alignment,B
tools,I
is,O
not,O
optimal,O
for,O
training,O
syntax,B
-,I
based,I
statistical,I
machine,I
translation,I
(,O
SMT,B
),O
systems,I
.,O
We,O
present,O
three,O
modifications,O
to,O
the,O
MT,B
training,I
data,I
to,O
improve,O
the,O
accuracy,B
of,O
a,O
state,B
-,I
of,I
-,I
the,I
-,I
art,I
syntax,B
MT,I
system,I
:,O
re,B
-,I
structuring,I
changes,O
the,O
syntactic,B
structure,I
of,O
training,B
parse,B
trees,I
to,O
enable,O
reuse,O
of,O
substructures,B
;,O
re,B
-,I
labeling,I
alters,O
bracket,B
labels,I
to,O
enrich,O
rule,B
application,I
context,I
;,O
and,O
re,B
-,I
aligning,I
unifies,O
word,B
alignment,I
across,O
sentences,O
to,O
remove,O
bad,O
word,B
alignments,I
and,O
refine,O
good,O
ones,O
.,O
Better,O
structures,B
",",O
labels,B
",",O
and,O
word,B
alignments,I
are,O
learned,O
by,O
the,O
EM,B
algorithm,I
.,O
We,O
show,O
that,O
each,O
individual,O
technique,O
leads,O
to,O
improvement,O
as,O
measured,O
by,O
BLEU,B
",",O
and,O
we,O
also,O
show,O
that,O
the,O
greatest,O
improvement,O
is,O
achieved,O
by,O
combining,O
them,O
.,O
We,O
report,O
an,O
overall,O
1.48,O
BLEU,B
improvement,I
on,O
the,O
NIST08,B
evaluation,I
set,I
over,O
a,O
strong,O
baseline,B
in,O
Chinese,O
/,O
English,O
translation,B
.,O
Word,B
alignment,I
plays,O
an,O
important,O
role,O
in,O
many,O
NLP,B
tasks,I
as,O
it,O
indicates,O
the,O
correspondence,O
between,O
words,O
in,O
a,O
parallel,B
text,I
.,O
Although,O
widely,O
used,O
to,O
align,B
large,O
bilingual,B
corpora,I
",",O
generative,B
models,I
are,O
hard,O
to,O
extend,O
to,O
incorporate,O
arbitrary,O
useful,O
linguistic,B
information,I
.,O
This,O
article,O
presents,O
a,O
discriminative,B
framework,I
for,O
word,B
alignment,I
based,O
on,O
a,O
linear,B
model,I
.,O
Within,O
this,O
framework,B
",",O
all,O
knowledge,B
sources,I
are,O
treated,O
as,O
feature,B
functions,I
",",O
which,O
depend,O
on,O
a,O
source,B
language,I
sentence,I
",",O
a,O
target,B
language,I
sentence,I
",",O
and,O
the,O
alignment,B
between,O
them,O
.,O
We,O
describe,O
a,O
number,O
of,O
features,B
that,O
could,O
produce,O
symmetric,B
alignments,I
.,O
Our,O
model,O
is,O
easy,O
to,O
extend,O
and,O
can,O
be,O
optimized,O
with,O
respect,O
to,O
evaluation,B
metrics,I
directly,O
.,O
The,O
model,O
achieves,O
state,B
-,I
of,I
-,I
the,I
-,I
art,I
alignment,B
quality,I
on,O
three,O
word,B
alignment,I
shared,O
tasks,O
for,O
five,O
language,B
pairs,I
with,O
varying,O
divergence,O
and,O
richness,O
of,O
resources,O
.,O
We,O
further,O
show,O
that,O
our,O
approach,O
improves,O
translation,B
performance,I
for,O
various,O
statistical,B
machine,I
translation,I
systems,I
.,O
Evaluation,B
and,O
error,O
analysis,O
of,O
machine,B
translation,I
output,O
are,O
important,O
but,O
difficult,O
tasks,O
.,O
In,O
this,O
article,O
",",O
we,O
propose,O
a,O
framework,O
for,O
automatic,B
error,I
analysis,I
and,O
classification,B
based,O
on,O
the,O
identification,O
of,O
actual,O
erroneous,O
words,O
using,O
the,O
algorithms,O
for,O
computation,O
of,O
Word,B
Error,I
Rate,I
(,O
WER,B
),O
and,O
Position,B
-,I
independent,I
word,B
Error,I
Rate,I
(,O
PER,B
),O
",",O
which,O
is,O
just,O
a,O
very,O
first,O
step,O
towards,O
development,O
of,O
automatic,B
evaluation,I
measures,O
that,O
provide,O
more,O
specific,O
information,O
of,O
certain,O
translation,O
problems,O
.,O
The,O
proposed,O
approach,O
enables,O
the,O
use,O
of,O
various,O
types,O
of,O
linguistic,O
knowledge,O
in,O
order,O
to,O
classify,O
translation,O
errors,O
in,O
many,O
different,O
ways,O
.,O
This,O
work,O
focuses,O
on,O
one,O
possible,O
set,O
-,O
up,O
",",O
namely,O
",",O
on,O
five,O
error,O
categories,O
:,O
inflectional,B
errors,I
",",O
errors,O
due,O
to,O
wrong,O
word,O
order,O
",",O
missing,O
words,O
",",O
extra,O
words,O
",",O
and,O
incorrect,O
lexical,B
choices,I
.,O
For,O
each,O
of,O
the,O
categories,O
",",O
we,O
analyze,O
the,O
contribution,O
of,O
various,O
POS,B
classes,O
.,O
We,O
compared,O
the,O
results,O
of,O
automatic,O
error,O
analysis,O
with,O
the,O
results,O
of,O
human,O
error,O
analysis,O
in,O
order,O
to,O
investigate,O
two,O
possible,O
applications,O
:,O
estimating,O
the,O
contribution,O
of,O
each,O
error,O
type,O
in,O
a,O
given,O
translation,O
output,O
in,O
order,O
to,O
identify,O
the,O
main,O
sources,O
of,O
errors,O
for,O
a,O
given,O
translation,B
system,I
",",O
and,O
comparing,O
different,O
translation,O
outputs,O
using,O
the,O
introduced,O
error,O
categories,O
in,O
order,O
to,O
obtain,O
more,O
information,O
about,O
advantages,O
and,O
disadvantages,O
of,O
different,O
systems,O
and,O
possibilites,O
for,O
improvements,O
",",O
as,O
well,O
as,O
about,O
advantages,O
and,O
disadvantages,O
of,O
applied,O
methods,O
for,O
improvements,O
.,O
We,O
used,O
Arabic,O
â,O
English,O
Newswire,O
and,O
Broadcast,O
News,O
and,O
Chinese,O
â,O
English,O
Newswire,O
outputs,O
created,O
in,O
the,O
framework,O
of,O
the,O
GALE,B
project,O
",",O
several,O
Spanish,O
and,O
English,O
European,O
Parliament,O
outputs,O
generated,O
during,O
the,O
TC,B
-,I
Star,I
project,O
",",O
and,O
three,O
German,O
â,O
English,O
outputs,O
generated,O
in,O
the,O
framework,O
of,O
the,O
fourth,O
Machine,B
Translation,I
Workshop,I
.,O
We,O
show,O
that,O
our,O
results,O
correlate,O
very,O
well,O
with,O
the,O
results,O
of,O
a,O
human,B
error,I
analysis,I
",",O
and,O
that,O
all,O
our,O
metrics,O
except,O
the,O
extra,O
words,O
reflect,O
well,O
the,O
differences,O
between,O
different,O
versions,O
of,O
the,O
same,O
translation,B
system,I
as,O
well,O
as,O
the,O
differences,O
between,O
different,O
translation,B
systems,I
.,O
The,O
Levenshtein,B
distance,I
is,O
a,O
simple,O
distance,B
metric,I
derived,O
from,O
the,O
number,O
of,O
edit,B
operations,I
